"DATA","SUSCETIVEIS_CENARIO_3","CUM_RECUPERADOS_CENARIO_3","EXPOSTOS_CENARIO_3","INFECTANTES_CENARIO_3","CUM_OBITOS_CENARIO_3","SUSCETIVEIS_CENARIO_1","CUM_RECUPERADOS_CENARIO_1","EXPOSTOS_CENARIO_1","INFECTANTES_CENARIO_1","CUM_OBITOS_CENARIO_1","SUSCETIVEIS_CENARIO_2","CUM_RECUPERADOS_CENARIO_2","EXPOSTOS_CENARIO_2","INFECTANTES_CENARIO_2","CUM_OBITOS_CENARIO_2"
2020-02-26,500937,17,4,15,0,500937,17,4,15,0,500937,17,4,15,0
2020-02-27,500936,18,4,15,0,500936,18,4,15,0,500936,18,4,15,0
2020-02-28,500936,19,4,14,0,500936,19,4,14,0,500936,19,4,14,0
2020-02-29,500932,20,5,16,0,500932,20,5,16,0,500932,20,5,16,0
2020-03-01,500917,21,12,23,0,500917,21,12,23,0,500917,21,12,23,0
2020-03-02,500914,22,13,24,0,500914,22,13,24,0,500914,22,13,24,0
2020-03-03,500911,23,13,26,0,500911,23,13,26,0,500911,23,13,26,0
2020-03-04,500911,24,9,29,0,500911,24,9,29,0,500911,24,9,29,0
2020-03-05,500909,25,9,30,0,500909,25,9,30,0,500909,25,9,30,0
2020-03-06,500910,26,7,30,0,500910,26,7,30,0,500910,26,7,30,0
2020-03-07,500903,28,8,34,0,500903,28,8,34,0,500903,28,8,34,0
2020-03-08,500891,29,13,40,0,500891,29,13,40,0,500891,29,13,40,0
2020-03-09,500878,30,19,46,0,500878,30,19,46,0,500878,30,19,46,0
2020-03-10,500862,33,24,54,0,500862,33,24,54,0,500862,33,24,54,0
2020-03-11,500854,41,21,57,0,500854,41,21,57,0,500854,41,21,57,0
2020-03-12,500848,43,20,62,0,500848,43,20,62,0,500848,43,20,62,0
2020-03-13,500824,46,27,76,0,500824,46,27,76,0,500824,46,27,76,0
2020-03-14,500792,50,43,88,0,500792,50,43,88,0,500792,50,43,88,0
2020-03-15,500726,52,73,122,0,500726,52,73,122,0,500726,52,73,122,0
2020-03-16,500675,53,91,154,0,500675,53,91,154,0,500675,53,91,154,0
2020-03-17,500634,58,101,180,0,500634,58,101,180,0,500634,58,101,180,0
2020-03-18,500621,65,87,200,0,500621,65,87,200,0,500621,65,87,200,0
2020-03-19,500606,72,74,221,0,500606,72,74,221,0,500606,72,74,221,0
2020-03-20,500559,82,80,252,0,500559,82,80,252,0,500559,82,80,252,0
2020-03-21,500560,86,70,257,0,500560,86,70,257,0,500560,86,70,257,0
2020-03-22,500543,92,68,270,0,500543,92,68,270,0,500543,92,68,270,0
2020-03-23,500542,109,47,275,0,500542,109,47,275,0,500542,109,47,275,0
2020-03-24,500516,129,46,282,0,500516,129,46,282,0,500516,129,46,282,0
2020-03-25,500478,165,40,290,0,500478,165,40,290,0,500478,165,40,290,0
2020-03-26,500439,200,43,291,0,500439,200,43,291,0,500439,200,43,291,0
2020-03-27,500396,230,54,293,0,500396,230,54,293,0,500396,230,54,293,0
2020-03-28,500384,252,60,277,0,500384,252,60,277,0,500384,252,60,277,0
2020-03-29,500387,274,56,256,0,500387,274,56,256,0,500387,274,56,256,0
2020-03-30,500379,310,46,238,0,500379,310,46,238,0,500379,310,46,238,0
2020-03-31,500395,321,33,223,1,500395,321,33,223,1,500395,321,33,223,1
2020-04-01,500367,341,41,223,1,500367,341,41,223,1,500367,341,41,223,1
2020-04-02,500380,355,39,197,2,500380,355,39,197,2,500380,355,39,197,2
2020-04-03,500376,366,38,191,2,500376,366,38,191,2,500376,366,38,191,2
2020-04-04,500374,380,31,186,2,500374,380,31,186,2,500374,380,31,186,2
2020-04-05,500361,398,31,181,2,500361,398,31,181,2,500361,398,31,181,2
2020-04-06,500332,420,37,182,2,500332,420,37,182,2,500332,420,37,182,2
2020-04-07,500323,439,31,177,3,500323,439,31,177,3,500323,439,31,177,3
2020-04-08,500311,453,34,172,3,500311,453,34,172,3,500311,453,34,172,3
2020-04-09,500327,465,25,153,3,500327,465,25,153,3,500327,465,25,153,3
2020-04-10,500317,472,32,149,3,500317,472,32,149,3,500317,472,32,149,3
2020-04-11,500302,494,29,145,3,500302,494,29,145,3,500302,494,29,145,3
2020-04-12,500295,504,32,139,3,500295,504,32,139,3,500295,504,32,139,3
2020-04-13,500292,510,26,142,3,500292,510,26,142,3,500292,510,26,142,3
2020-04-14,500297,525,22,126,3,500297,525,22,126,3,500297,525,22,126,3
2020-04-15,500283,535,26,126,3,500283,535,26,126,3,500283,535,26,126,3
2020-04-16,500267,547,26,130,3,500267,547,26,130,3,500267,547,26,130,3
2020-04-17,500267,556,26,121,3,500267,556,26,121,3,500267,556,26,121,3
2020-04-18,500250,569,28,123,3,500250,569,28,123,3,500250,569,28,123,3
2020-04-19,500253,572,26,119,3,500253,572,26,119,3,500253,572,26,119,3
2020-04-20,500212,588,40,130,3,500212,588,40,130,3,500212,588,40,130,3
2020-04-21,500199,597,42,131,4,500199,597,42,131,4,500199,597,42,131,4
2020-04-22,500182,603,45,139,4,500182,603,45,139,4,500182,603,45,139,4
2020-04-23,500186,613,36,134,4,500186,613,36,134,4,500186,613,36,134,4
2020-04-24,500192,618,28,130,5,500192,618,28,130,5,500192,618,28,130,5
2020-04-25,500183,628,25,132,5,500183,628,25,132,5,500183,628,25,132,5
2020-04-26,500182,638,20,128,5,500182,638,20,128,5,500182,638,20,128,5
2020-04-27,500172,644,22,130,5,500172,644,22,130,5,500172,644,22,130,5
2020-04-28,500158,656,24,130,5,500158,656,24,130,5,500158,656,24,130,5
2020-04-29,500160,664,21,123,5,500160,664,21,123,5,500160,664,21,123,5
2020-04-30,500146,683,17,121,6,500146,683,17,121,6,500146,683,17,121,6
2020-05-01,500132,697,18,120,6,500132,697,18,120,6,500132,697,18,120,6
2020-05-02,500130,708,16,113,6,500130,708,16,113,6,500130,708,16,113,6
2020-05-03,500135,719,16,97,6,500135,719,16,97,6,500135,719,16,97,6
2020-05-04,500134,724,15,93,7,500134,724,15,93,7,500134,724,15,93,7
2020-05-05,500096,732,35,103,7,500096,732,35,103,7,500096,732,35,103,7
2020-05-06,500085,738,41,102,7,500085,738,41,102,7,500085,738,41,102,7
2020-05-07,500085,746,35,100,7,500085,746,35,100,7,500085,746,35,100,7
2020-05-08,500076,756,28,106,7,500076,756,28,106,7,500076,756,28,106,7
2020-05-09,500081,759,22,104,7,500081,759,22,104,7,500081,759,22,104,7
2020-05-10,500081,763,22,100,7,500081,763,22,100,7,500081,763,22,100,7
