"INICIO_SINTOMAS","TERRITORIO","CASOS"
2020-04-03,"cs_rio_vermelho",4
2020-04-04,"cs_balneario",8
2020-04-04,"cs_centro",8
2020-04-04,"cs_costeira_do_pirajubae",8
2020-04-04,"cs_fazenda_do_rio_tavares",4
2020-04-04,"cs_ingleses",8
2020-04-04,"cs_jardim_atlantico",4
2020-04-04,"cs_saco_grande",12
2020-04-04,"cs_tapera",4
2020-04-05,"cs_armacao",4
2020-04-05,"cs_centro",12
2020-04-05,"cs_coloninha",4
2020-04-05,"cs_coqueiros",4
2020-04-05,"cs_ingleses",4
2020-04-05,"cs_pantano_do_sul",4
2020-04-05,"cs_rio_vermelho",4
2020-04-05,"cs_vargem_pequena",4
2020-04-06,"cs_capoeiras",4
2020-04-06,"cs_centro",12
2020-04-06,"cs_coqueiros",4
2020-04-06,"cs_costeira_do_pirajubae",4
2020-04-06,"cs_jardim_atlantico",4
2020-04-06,"cs_monte_cristo",4
2020-04-06,"cs_pantanal",8
2020-04-06,"cs_santo_antonio_de_lisboa",6
2020-04-06,"cs_trindade",4
2020-04-07,"cs_barra_da_lagoa",4
2020-04-07,"cs_campeche",4
2020-04-07,"cs_centro",4
2020-04-07,"cs_itacorubi",4
2020-04-07,"cs_lagoa_da_conceicao",4
2020-04-07,"cs_ponta_das_canas",4
2020-04-07,"cs_saco_dos_limoes",4
2020-04-07,"cs_saco_grande",8
2020-04-08,"cs_agronomica",4
2020-04-08,"cs_capoeiras",4
2020-04-08,"cs_centro",4
2020-04-08,"cs_costeira_do_pirajubae",4
2020-04-08,"cs_fazenda_do_rio_tavares",6
2020-04-08,"cs_ingleses",8
2020-04-08,"cs_joao_paulo",10
2020-04-08,"cs_monte_cristo",4
2020-04-08,"cs_rio_vermelho",4
2020-04-08,"cs_saco_grande",4
2020-04-09,"cs_balneario",4
2020-04-09,"cs_centro",8
2020-04-10,"cs_abraao",4
2020-04-10,"cs_cachoeira_do_bom_jesus",8
2020-04-10,"cs_centro",12
2020-04-10,"cs_coqueiros",4
2020-04-10,"cs_ingleses",4
2020-04-10,"cs_itacorubi",4
2020-04-10,"cs_lagoa_da_conceicao",4
2020-04-10,"cs_monte_cristo",4
2020-04-10,"cs_monte_serrat",4
2020-04-10,"cs_rio_vermelho",4
2020-04-10,"cs_tapera",8
2020-04-10,"cs_trindade",1
2020-04-11,"cs_abraao",4
2020-04-11,"cs_agronomica",4
2020-04-11,"cs_alto_ribeirao",4
2020-04-11,"cs_canasvieiras",10
2020-04-11,"cs_capoeiras",4
2020-04-11,"cs_costeira_do_pirajubae",4
2020-04-11,"cs_joao_paulo",4
2020-04-11,"cs_rio_tavares",4
2020-04-12,"cs_agronomica",4
2020-04-12,"cs_campeche",4
2020-04-12,"cs_estreito",4
2020-04-12,"cs_fazenda_do_rio_tavares",4
2020-04-12,"cs_ingleses",4
2020-04-12,"cs_trindade",4
2020-04-13,"cs_abraao",4
2020-04-13,"cs_centro",4
2020-04-13,"cs_coqueiros",4
2020-04-13,"cs_corrego_grande",4
2020-04-13,"cs_fazenda_do_rio_tavares",8
2020-04-13,"cs_jardim_atlantico",4
2020-04-13,"cs_morro_das_pedras",4
2020-04-13,"cs_ratones",4
2020-04-13,"cs_saco_dos_limoes",4
2020-04-14,"cs_agronomica",4
2020-04-14,"cs_centro",6
2020-04-14,"cs_costeira_do_pirajubae",4
2020-04-14,"cs_estreito",4
2020-04-14,"cs_novo_continente",4
2020-04-15,"cs_abraao",10
2020-04-15,"cs_agronomica",4
2020-04-15,"cs_canasvieiras",4
2020-04-15,"cs_centro",4
2020-04-15,"cs_coqueiros",4
2020-04-15,"cs_costeira_do_pirajubae",4
2020-04-15,"cs_ponta_das_canas",4
2020-04-15,"cs_tapera",4
2020-04-16,"cs_abraao",4
2020-04-16,"cs_agronomica",4
2020-04-16,"cs_centro",4
2020-04-16,"cs_ingleses",12
2020-04-16,"cs_itacorubi",4
2020-04-16,"cs_joao_paulo",4
2020-04-16,"cs_pantanal",4
2020-04-16,"cs_rio_tavares",4
2020-04-17,"cs_agronomica",4
2020-04-17,"cs_carianos",4
2020-04-17,"cs_coqueiros",4
2020-04-17,"cs_corrego_grande",4
2020-04-17,"cs_itacorubi",4
2020-04-17,"cs_monte_serrat",4
2020-04-18,"cs_cachoeira_do_bom_jesus",4
2020-04-18,"cs_canasvieiras",4
2020-04-18,"cs_centro",12
2020-04-18,"cs_coqueiros",0
2020-04-18,"cs_corrego_grande",4
2020-04-18,"cs_costeira_do_pirajubae",4
2020-04-18,"cs_jardim_atlantico",4
2020-04-18,"cs_monte_serrat",4
2020-04-18,"cs_vargem_grande",8
2020-04-19,"cs_abraao",4
2020-04-19,"cs_agronomica",4
2020-04-19,"cs_centro",4
2020-04-19,"cs_coqueiros",4
2020-04-19,"cs_estreito",1
2020-04-19,"cs_fazenda_do_rio_tavares",0
2020-04-19,"cs_ingleses",4
2020-04-19,"cs_jurere",4
2020-04-19,"cs_rio_vermelho",4
2020-04-20,"cs_abraao",4
2020-04-20,"cs_agronomica",8
2020-04-20,"cs_carianos",4
2020-04-20,"cs_centro",16
2020-04-20,"cs_estreito",12
2020-04-20,"cs_fazenda_do_rio_tavares",4
2020-04-20,"cs_itacorubi",8
2020-04-20,"cs_jardim_atlantico",4
2020-04-20,"cs_jurere",12
2020-04-20,"cs_monte_cristo",4
2020-04-21,"cs_agronomica",4
2020-04-21,"cs_armacao",4
2020-04-21,"cs_carianos",4
2020-04-21,"cs_coqueiros",4
2020-04-21,"cs_estreito",6
2020-04-21,"cs_fazenda_do_rio_tavares",4
2020-04-21,"cs_itacorubi",4
2020-04-21,"cs_joao_paulo",4
2020-04-21,"cs_monte_cristo",4
2020-04-21,"cs_novo_continente",4
2020-04-21,"cs_prainha",8
2020-04-21,"cs_trindade",4
2020-04-22,"cs_centro",4
2020-04-22,"cs_coqueiros",1
2020-04-22,"cs_costeira_do_pirajubae",16
2020-04-22,"cs_estreito",4
2020-04-22,"cs_ingleses",4
2020-04-22,"cs_morro_das_pedras",4
2020-04-22,"cs_saco_grande",4
2020-04-22,"cs_trindade",4
2020-04-23,"cs_agronomica",4
2020-04-23,"cs_campeche",8
2020-04-23,"cs_centro",8
2020-04-23,"cs_coloninha",4
2020-04-23,"cs_fazenda_do_rio_tavares",4
2020-04-23,"cs_lagoa_da_conceicao",4
2020-04-23,"cs_pantanal",4
2020-04-23,"cs_rio_vermelho",4
2020-04-23,"cs_saco_grande",4
2020-04-24,"cs_coloninha",0
2020-04-24,"cs_costeira_do_pirajubae",4
2020-04-24,"cs_prainha",8
2020-04-24,"cs_santinho",4
