"DATA","SUSCETIVEIS_CENARIO_3","CUM_RECUPERADOS_CENARIO_3","EXPOSTOS_CENARIO_3","INFECTANTES_CENARIO_3","CUM_OBITOS_CENARIO_3","LEITOS_UTI_CENARIO_3","SUSCETIVEIS_CENARIO_1","CUM_RECUPERADOS_CENARIO_1","EXPOSTOS_CENARIO_1","INFECTANTES_CENARIO_1","CUM_OBITOS_CENARIO_1","LEITOS_UTI_CENARIO_1","SUSCETIVEIS_CENARIO_2","CUM_RECUPERADOS_CENARIO_2","EXPOSTOS_CENARIO_2","INFECTANTES_CENARIO_2","CUM_OBITOS_CENARIO_2","LEITOS_UTI_CENARIO_2"
2020-06-22,497818,1946,213,981,15,12,497818,1946,213,981,15,12,497818,1946,213,981,15,12
2020-06-23,497709,2020,219,1010,15,10,497709,2020,219,1010,15,10,497709,2020,219,1010,15,10
2020-06-24,497599,2096,224,1039,15,13,497599,2096,224,1039,15,13,497599,2096,224,1039,15,13
2020-06-25,497485,2175,229,1069,15,12,497485,2175,229,1069,15,12,497485,2175,229,1069,15,12
2020-06-26,497369,2256,235,1098,15,15,497369,2256,235,1098,15,15,497369,2256,235,1098,15,15
2020-06-27,497250,2340,241,1127,15,16,497250,2340,241,1127,15,16,497250,2340,241,1127,15,16
2020-06-28,497128,2426,246,1157,16,20,497128,2426,246,1157,16,20,497128,2426,246,1157,16,20
2020-06-29,497004,2514,251,1187,17,20,497004,2514,251,1187,17,20,497004,2514,251,1187,17,20
2020-06-30,496876,2606,257,1217,17,21,496876,2606,257,1217,17,21,496876,2606,257,1217,17,21
2020-07-01,496746,2699,263,1247,18,23,496746,2699,263,1247,18,23,496746,2699,263,1247,18,23
2020-07-02,496614,2792,268,1277,22,22,496614,2792,268,1277,22,22,496614,2792,268,1277,22,22
2020-07-03,496478,2891,273,1308,23,23,496478,2891,273,1308,23,23,496478,2891,273,1308,23,23
2020-07-04,496340,2992,279,1338,24,24,496340,2992,279,1338,24,24,496340,2992,279,1338,24,24
2020-07-05,496199,3095,285,1368,26,27,496199,3095,285,1368,26,27,496199,3095,285,1368,26,27
2020-07-06,496055,3203,291,1398,26,24,496055,3203,291,1398,26,24,496055,3203,291,1398,26,24
2020-07-07,495908,3312,296,1429,28,26,495908,3312,296,1429,28,26,495908,3312,296,1429,28,26
2020-07-08,495759,3425,301,1460,28,26,495759,3425,301,1460,28,26,495759,3425,301,1460,28,26
2020-07-09,495607,3539,307,1490,30,26,495607,3539,307,1490,30,26,495607,3539,307,1490,30,26
2020-07-10,495452,3657,313,1520,31,24,495452,3657,313,1520,31,24,495452,3657,313,1520,31,24
2020-07-11,495293,3779,319,1551,31,25,495293,3779,319,1551,31,25,495293,3779,319,1551,31,25
2020-07-12,495132,3900,325,1582,34,26,495132,3900,325,1582,34,26,495132,3900,325,1582,34,26
2020-07-13,494969,4026,330,1613,35,25,494969,4026,330,1613,35,25,494969,4026,330,1613,35,25
2020-07-14,494803,4155,335,1644,36,25,494803,4155,335,1644,36,25,494803,4155,335,1644,36,25
2020-07-15,494633.620712868,4288,340.379287131892,1675,36,25,494633.620712868,4288,340.379287131892,1675,36,25,494633.620712868,4288,340.379287131892,1675,36,25
2020-07-16,494462.222646053,4422,345.7773539469,1706,37,26,494462.222646053,4422,345.7773539469,1706,37,26,494462.222646053,4422,345.7773539469,1706,37,26
2020-07-17,494287.739951137,4558,351.175420761908,1737.08462810104,39,26,494287.739951137,4558,351.175420761908,1737.08462810104,39,26,494287.739951137,4558,351.175420761908,1737.08462810104,39,26
2020-07-18,494110.214902779,4698,356.573487576916,1768.21160964378,40,26,494110.214902779,4698,356.573487576916,1768.21160964378,40,26,494110.214902779,4698,356.573487576916,1768.21160964378,40,26
2020-07-19,493929.652796089,4842,361.971554391924,1799.37564951934,40,26,493929.652796089,4842,361.971554391924,1799.37564951934,40,26,493929.652796089,4842,361.971554391924,1799.37564951934,40,26
2020-07-20,493929.652796089,4842,361.971554391924,1799.37564951934,40,26,493929.652796089,4842,361.971554391924,1799.37564951934,40,26,493929.652796089,4842,361.971554391924,1799.37564951934,40,26
2020-07-21,493738.948130741,5006.19271910025,369.683284752328,1819.54553776646,41.8862966320096,24.2630538873326,493768.923471684,5006.00267791791,346.085960640845,1813.35753381216,41.8862576734315,24.2613474776917,493754.257984945,5006.09571035384,357.63042939815,1816.38553321475,41.8862767449756,24.2621828308514
